"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"103","UTIAMC","UTI Asset Management Company Ltd",543238,"-4.55","1057.4","156592","2024-07-18","09:52:20","Finance","2024-07-18 09:52:30.034519+05:30"
"104","CYIENT","Cyient Limited",532175,"-0.11","1840","192184","2024-07-18","13:40:25","IT - Software","2024-07-18 13:40:25.621583+05:30"
"105","NEWGEN","Newgen Software Technologies Ltd",540900,"-3.24","1015.05","677695","2024-07-18","13:47:35","IT - Software","2024-07-18 13:47:35.941477+05:30"
"106","ELECON","Elecon Engineering Company Limited",505700,"-0.9","1294","2384933","2024-07-18","13:50:36","Capital Goods-Non Electrical Equipment","2024-07-18 13:50:36.194698+05:30"
"196","NEULANDLAB","Neuland Laboratories Limited",524558,"-4.12","8129.9","32801","2024-07-19","22:02:34","Pharmaceuticals","2024-07-20 22:02:34.959384+05:30"
"197","GILLETTE","Gillette India Limited",507815,"-3.64","7683.9","18191","2024-07-19","22:02:34","FMCG","2024-07-20 22:02:34.959384+05:30"
"198","ESABINDIA","Esab India Limited",500133,"-2.24","6486.15","12189","2024-07-19","22:02:34","Capital Goods-Non Electrical Equipment","2024-07-20 22:02:34.959384+05:30"
"199","LTIM","LTI Mindtree Ltd",540005,"0.1","5762.75","961356","2024-07-19","22:02:34","IT - Software","2024-07-20 22:02:34.959384+05:30"
"200","TCS","Tata Consultancy Services Limited",532540,"-0.3","4302.4","3903354","2024-07-19","22:02:34","IT - Software","2024-07-20 22:02:34.959384+05:30"
"201","AIAENG","Aia Engineering Limited",532683,"1.09","4272.7","718448","2024-07-19","22:02:34","Castings, Forgings & Fastners","2024-07-20 22:02:34.959384+05:30"
"202","MPHASIS","Mphasis Limited",526299,"1.42","2873.55","4513506","2024-07-19","22:02:34","IT - Software","2024-07-20 22:02:34.959384+05:30"
"203","HINDUNILVR","Hindustan Unilever Limited",500696,"-0.42","2727","1668862","2024-07-19","22:02:34","FMCG","2024-07-20 22:02:34.959384+05:30"
"204","RPGLIFE","Rpg Life Sciences Limited",532983,"-0.97","1794.4","46341","2024-07-19","22:02:34","Pharmaceuticals","2024-07-20 22:02:34.959384+05:30"
"205","E2E","E2E Networks Ltd",535080,"5","1776.7","40514","2024-07-19","22:02:34","IT - Software","2024-07-20 22:02:34.959384+05:30"
"206","HGINFRA","H.G. Infra Engineering Ltd",541019,"-2.84","1691.85","158680","2024-07-19","22:02:34","Infrastructure Developers & Operators","2024-07-20 22:02:34.959384+05:30"
"207","NUCLEUS","Nucleus Software Exports Limited",531209,"1.04","1493.45","361388","2024-07-19","22:02:34","IT - Software","2024-07-20 22:02:34.959384+05:30"
"208","PIXTRANS","Pix Transmission Ltd",500333,"-1.96","1492.9","338825","2024-07-19","22:02:34","Plantation & Plantation Products","2024-07-20 22:02:34.959384+05:30"
"209","ZENTEC","Zen Technologies Limited",533339,"-1.1","1377.3","617888","2024-07-19","22:02:34","Aerospace & Defence","2024-07-20 22:02:34.959384+05:30"
"210","KSOLVES","Ksolves India Ltd",535356,"1.29","1208.4","89663","2024-07-19","22:02:34","IT - Software","2024-07-20 22:02:34.959384+05:30"
"211","TANLA","Tanla Solutions Limited",532790,"-2.31","970.1","1447885","2024-07-19","22:02:34","IT - Software","2024-07-20 22:02:34.959384+05:30"
"212","ABSLAMC","Aditya Birla Sun Life AMC Ltd",543374,"-4.16","676.4","602146","2024-07-19","22:02:34","Finance","2024-07-20 22:02:34.959384+05:30"
"213","MARICO","Marico Limited",531642,"-2.37","668.65","929516","2024-07-19","22:02:34","Edible Oil","2024-07-20 22:02:34.959384+05:30"
"214","ITC","Itc Limited",500875,"0.91","474.55","24977373","2024-07-19","22:02:34","Tobacco Products","2024-07-20 22:02:34.959384+05:30"
"215","CYBERTECH","Cybertech Systems And Software Limited",532173,"-3.8","193.1","2501772","2024-07-19","22:02:34","IT - Software","2024-07-20 22:02:34.959384+05:30"
"216","GEOJITFSL","Geojit Financial Services",532285,"-4.21","111.55","1781775","2024-07-19","22:02:34","Stock/ Commodity Brokers","2024-07-20 22:02:34.959384+05:30"
