"id","nsecode","name","bsecode","per_chg","close","volume","date","time","igroup_name","create_at"
"70","GODFRYPHLP","Godfrey Phillips India Limited",500163,"10.67","4489.95","270331","2024-07-15","10:07:16","Tobacco Products","2024-07-15 10:07:16.602743+05:30"
"71","MMTC","Mmtc Limited",513377,"9.37","96.91","13409709","2024-07-15","11:15:26","Trading","2024-07-15 11:15:26.217406+05:30"
"72","HBLPOWER","Hbl Power Systems Limited",517271,"10.74","633.5","6701618","2024-07-15","12:53:35","Auto Ancillaries","2024-07-15 12:53:35.766769+05:30"
"73","AUROPHARMA","Aurobindo Pharma Limited",524804,"3.97","1379.55","5105628","2024-07-15","14:11:20","Pharmaceuticals","2024-07-15 14:11:20.840397+05:30"
"74","ABBOTINDIA","Abbott India Limited",500488,"0.29","28679.65","2093","2024-07-16","09:42:34","Pharmaceuticals","2024-07-16 09:42:34.757374+05:30"
"75","SHREECEM","Shree Cements Limited",500387,"2.4","28278.6","28504","2024-07-16","09:42:34","Cement","2024-07-16 09:42:34.757374+05:30"
"76","MAPMYINDIA","C.E. Info Systems Ltd",543425,"-1.13","2480.1","36329","2024-07-16","09:42:34","IT - Software","2024-07-16 09:42:34.757374+05:30"
"77","SAFARI","Safari Industries (India) Ltd",523025,"0.45","2161.3","3915","2024-07-16","09:42:34","Plastic products","2024-07-16 09:42:34.757374+05:30"
"78","ROUTE","Route Mobile Ltd",543228,"0.43","1830","26758","2024-07-16","09:42:34","IT - Software","2024-07-16 09:42:34.757374+05:30"
"79","HCLTECH","Hcl Technologies Limited",532281,"-0.11","1567.8","769021","2024-07-16","09:42:34","IT - Software","2024-07-16 09:42:34.757374+05:30"
"80","AUROPHARMA","Aurobindo Pharma Limited",524804,"0.7","1384.5","128004","2024-07-16","09:42:34","Pharmaceuticals","2024-07-16 09:42:34.757374+05:30"
"81","HBLPOWER","Hbl Power Systems Limited",517271,"3.46","651.15","2068999","2024-07-16","09:42:34","Auto Ancillaries","2024-07-16 09:42:34.757374+05:30"
"82","VTL","Vardhman Textiles Limited",502986,"-1","546.95","64573","2024-07-16","09:42:34","Textiles","2024-07-16 09:42:34.757374+05:30"
"83","CASTROLIND","Castrol India Limited",500870,"0.34","268.24","6110433","2024-07-16","09:42:34","Chemicals","2024-07-16 09:42:34.757374+05:30"
"84","MMTC","Mmtc Limited",513377,"-0.48","94.56","3396381","2024-07-16","09:42:34","Trading","2024-07-16 09:42:34.757374+05:30"
"85","SUNTECK","Sunteck Realty Limited",512179,"2.37","622.5","1136718","2024-07-16","09:53:28","Realty","2024-07-16 09:53:28.767682+05:30"
"86","BLUEDART","Blue Dart Express Limited",526612,"2.51","8738.65","3722","2024-07-16","10:15:43","Logistics","2024-07-16 10:15:43.438724+05:30"
"87","GPIL","Godawari Power And Ispat Limited",532734,"7.95","1205.9","751816","2024-07-16","10:28:13","Steel","2024-07-16 10:28:13.673153+05:30"
"88","LICHSGFIN","Lic Housing Finance Limited",500253,"1.89","818.5","1349667","2024-07-16","11:01:09","Finance","2024-07-16 11:01:09.751687+05:30"
"89","INDIACEM","The India Cements Limited",530005,"4.98","322.7","9525792","2024-07-16","11:37:19","Cement","2024-07-16 11:37:19.963571+05:30"
"90","APOLLOTYRE","Apollo Tyres Limited",500877,"2.32","552.25","2438672","2024-07-16","11:53:12","Tyres","2024-07-16 11:53:12.354648+05:30"
"91","GICRE","General Insurance Corporation of India",540755,"5.49","430.75","3790715","2024-07-16","12:51:26","Insurance","2024-07-16 12:51:26.56198+05:30"
"92","ZENSARTECH","Zensar Technologies Limited",504067,"-1.05","778.6","938132","2024-07-16","13:21:36","IT - Software","2024-07-16 13:21:36.811221+05:30"
"93","NATCOPHARM","Natco Pharma Limited",524816,"4.82","1266.3","918917","2024-07-16","13:59:27","Pharmaceuticals","2024-07-16 13:59:27.906474+05:30"
"94","SBILIFE","SBI Life Insurance Company Ltd",540719,"0.6","1623.15","818852","2024-07-16","14:02:29","Insurance","2024-07-16 14:02:29.093703+05:30"
"112","ABBOTINDIA","Abbott India Limited",500488,"0.53","28739.95","23","2024-07-18","09:21:12","Pharmaceuticals","2024-07-18 09:21:16.495873+05:30"
"113","BLUEDART","Blue Dart Express Limited",526612,"-0.82","8862.25","202","2024-07-18","09:21:12","Logistics","2024-07-18 09:21:16.495873+05:30"
"114","MAPMYINDIA","C.E. Info Systems Ltd",543425,"-1.92","2430","1338","2024-07-18","09:21:12","IT - Software","2024-07-18 09:21:16.495873+05:30"
"115","SAFARI","Safari Industries (India) Ltd",523025,"-0.54","2137.9","121","2024-07-18","09:21:12","Plastic products","2024-07-18 09:21:16.495873+05:30"
"116","ROUTE","Route Mobile Ltd",543228,"-1.06","1800","554","2024-07-18","09:21:12","IT - Software","2024-07-18 09:21:16.495873+05:30"
"117","SBILIFE","SBI Life Insurance Company Ltd",540719,"-0.08","1620","3128","2024-07-18","09:21:12","Insurance","2024-07-18 09:21:16.495873+05:30"
"118","AUROPHARMA","Aurobindo Pharma Limited",524804,"0","1371.05","6822","2024-07-18","09:21:12","Pharmaceuticals","2024-07-18 09:21:16.495873+05:30"
"119","NATCOPHARM","Natco Pharma Limited",524816,"0.36","1286","11473","2024-07-18","09:21:12","Pharmaceuticals","2024-07-18 09:21:16.495873+05:30"
"120","CHENNPETRO","Chennai Petroleum Corporation Limited",500110,"0.24","1215","27489","2024-07-18","09:21:12","Refineries","2024-07-18 09:21:16.495873+05:30"
"121","JUSTDIAL","Just Dial Limited",535648,"6.27","1100","73411","2024-07-18","09:21:12","E-Commerce/App based Aggregator","2024-07-18 09:21:16.495873+05:30"
"122","LICHSGFIN","Lic Housing Finance Limited",500253,"0.37","810","7643","2024-07-18","09:21:12","Finance","2024-07-18 09:21:16.495873+05:30"
"123","ZENSARTECH","Zensar Technologies Limited",504067,"1.39","790","19764","2024-07-18","09:21:12","IT - Software","2024-07-18 09:21:16.495873+05:30"
"124","HBLPOWER","Hbl Power Systems Limited",517271,"1.68","648.8","27577","2024-07-18","09:21:12","Auto Ancillaries","2024-07-18 09:21:16.495873+05:30"
